Crop_species,RUE (g  MJ?1)
Cotton,1.8
Chickpea,1.8
Pea,1.8
Soybean,2
Peanut,2
Canola,2
Sunflower,2.1
Barley,2.1
Wheat,2.2
Rice,2.2
Maize,3.5
Sorghum,3.5
Sugarcane,3.6
